epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.697,0.26539,2.25744,0.84561,0,0,0,0,0,0,0,4.68e-05,1.56e-05,4.68e-05,1.56e-05,4.68e-05,1.56e-05,4.68e-05,1.56e-05
2,49.3335,0.28631,2.26236,0.86312,0,0,0,0,0,0,0,8.60905e-05,2.86968e-05,8.60905e-05,2.86968e-05,8.60905e-05,2.86968e-05,8.60905e-05,2.86968e-05
3,72.1404,0.25824,2.18316,0.84268,0,0,0,0,0,0,0,0.000115729,3.85762e-05,0.000115729,3.85762e-05,0.000115729,3.85762e-05,0.000115729,3.85762e-05
4,95.0125,0.27677,2.31655,0.86282,0,0,0,0,0,0,0,0.000135714,4.5238e-05,0.000135714,4.5238e-05,0.000135714,4.5238e-05,0.000135714,4.5238e-05
5,118.253,0.27548,2.22979,0.86264,0,0,0,0,0,0,0,0.00011778,3.926e-05,0.00011778,3.926e-05,0.00011778,3.926e-05,0.00011778,3.926e-05
6,143.513,0.26189,2.30274,0.85975,0,0,0,0,0,0,0,9.8475e-05,3.2825e-05,9.8475e-05,3.2825e-05,9.8475e-05,3.2825e-05,9.8475e-05,3.2825e-05
7,166.358,0.24914,2.15109,0.85318,0,0,0,0,0,0,0,7.917e-05,2.639e-05,7.917e-05,2.639e-05,7.917e-05,2.639e-05,7.917e-05,2.639e-05
8,188.847,0.26268,2.15653,0.84244,0,0,0,0,0,0,0,5.9865e-05,1.9955e-05,5.9865e-05,1.9955e-05,5.9865e-05,1.9955e-05,5.9865e-05,1.9955e-05
9,213.986,0.26379,2.20894,0.86881,0,0,0,0,0,0,0,4.056e-05,1.352e-05,4.056e-05,1.352e-05,4.056e-05,1.352e-05,4.056e-05,1.352e-05
10,259.616,0.28707,2.29239,0.86686,0.82304,0.59779,0.74212,0.73191,0.20413,1.99479,0.82667,2.1255e-05,7.085e-06,2.1255e-05,7.085e-06,2.1255e-05,7.085e-06,2.1255e-05,7.085e-06
